txt,lbl,prob_positve,user_id,clothes_id
lần thứ mua ở shop nên chất_lượng khỏi bàn,1,0.992806315422058,51,4
quan_trọng nhất là shop phục_vụ cực_kì tốt,1,0.9925468564033508,27,77
lần này đặt còn được tặng mã giảm_giá nữa,1,0.9074054956436156,60,72
ncl mình re com men de d mọi người nên mua nha,1,0.9927781224250792,75,25
than k shop ạ iu iu,0,0.044321596622467,63,18
uuu,0,0.0702391266822815,97,75
"áo rẻ mà đẹp quá_trời , vải dày_dặn , mặc lên vừa_vặn đẹp lắm luôn",1,0.992952287197113,90,3
"shop nói chuyên dễ_thương , shipper giao hàng nhanh chong",1,0.9925884008407592,53,37
"cuối_cùng cũng kiếm được một shop bán hàng ưng_ý trên shop e e , sẽ ủng_hộ shop lâu_dài",1,0.9922590851783752,53,70
rcm nên mua nha,1,0.6274593472480774,5,65
áo ở ngoài xinh hơn trong hình,1,0.988923192024231,1,23
sẽ ủng_hộ tiếp sao cho sản_phẩm nha a,1,0.991245448589325,17,98
áo siu siu siu siu đẹp lun,1,0.9904940724372864,61,64
đã mua nhiều áo của shop mẫu nào cũng ưng,1,0.9926041960716248,85,66
siêu thích áo của shop chỉ muốn mua hết các mẫu về mặc shop thì rất thân_thiện còn gửi kèm cả tờ giấy hướng_dẫn siêu đáng yêu,1,0.9929199814796448,93,28
chắc_chắn sẽ ủng_hộ shop tiếp,1,0.9914852976799012,1,12
quan_trọng nhất là shop phục_vụ cực_kì tốt,1,0.9925468564033508,85,42
shop giao hàng siêu nhanh á,1,0.9914945363998412,57,83
"đầu_tiên mình thấy orm áo mặc rộng thoải_mái , chất áo thì mịn",1,0.9928056597709656,55,74
"giá_thành của áo thì siêu rẻ , săn sa le còn chưa đến k nữa",1,0.9909878373146056,84,20
rất đáng để mua nha,1,0.9927493333816528,18,88
cảm_ơn shop rất nhiều nha a,1,0.9819430708885192,12,12
"ỏ rất xnk đẹp tuỵ t ời nka m n , n ê n mua nè",1,0.9928377270698548,77,20
"chất vải cực ổn , hợp với giá tiền , ship cũng tương_đối nhanh ạ tầm ngày là đến_nơi à",1,0.9926579594612122,2,92
so với thời_điểm dịch_bệnh như này thì shop giao thế_là quá nhanh rùi í,1,0.9410542249679564,56,81
"ủng_hộ shop nè , chúc shop làm_ăn lên như_diều_gặp_gió nka",1,0.988835632801056,7,85
đúng với mô_tả giống hình,1,0.6289681792259216,83,93
chất_liệu oke,1,0.9759253263473512,29,21
"đẹp ạ , đóng_gói cẩn_thận , quá đẹp so với giá tiền á , shop tư_vấn khéo",1,0.9928932785987854,60,21
"cả nhà mua đi đáng đồng_tiền ạ , còn được tặng kèm quà nữ",1,0.9927617907524108,78,100
sẽ ủng_hộ tiếp a,1,0.989687979221344,89,54
chất_liệu li ke,0,0.0864032134413719,81,91
đúng với mô_tả đẹp,1,0.9408416152000428,65,26
"túi đẹp , dáng xinh , mãi mới tìm được shop tư_vấn nhiệt_tình , giao hàng n h anh , đóng_gói rất là cẩn_thận nhé",1,0.992935836315155,46,33
cho shop sao luôn,1,0.9924903512001038,45,62
đúng với mô_tả đẹp như hình,1,0.9682689905166626,21,80
"túi đẹp , dáng xinh",1,0.9923967719078064,98,53
còn đc tặng chun tóc,1,0.9863271713256836,61,35
than k s shop,0,0.0736017078161239,82,34
bên trong vừa được lót sốp vừa dùng túi_bóng phồng để giữ orm nên dáng rất ok,1,0.9848816394805908,63,9
màu_sắc ok,1,0.9877118468284608,72,62
đúng với mô tảđ,0,0.4282581806182861,99,22
chất_liệu đ c,0,0.1259568184614181,32,87
dép đi êm rẻ nhưng mới_đầu có mùi nồng nhưng sài lâu sẽ ht và dép hơi to nhưng giá có k thì k đòi_hỏi nhìu,0,0.2182426750659942,92,1
màu_sắc đẹp,1,0.9893948435783386,3,51
đúng với mô_tả đúng với miêu_tả,1,0.6436412930488586,89,29
chất_liệu tốt,1,0.9819064140319824,3,9
"dép đúng đẹp luôn , cáo bạn nên mua , mình sẻ mua thêm hàng ở shop này",1,0.992926299571991,56,21
chất_liệu xốp,0,0.0214449875056743,63,35
màu sắc đen_trắng,0,0.0333852805197238,49,70
đúng với mô_tả tốt,1,0.947851061820984,50,60
rất hợp với số tiền,1,0.985752284526825,99,61
chất_liệu tốt,1,0.9819064140319824,65,95
màu_sắc trắng,0,0.0329040735960006,66,56
đúng với mô_tả đúng,1,0.6358078122138977,82,100
sản_phẩm đẹp đóng_gói chắc_chắn nhất_định sẽ ủng_hộ nh lần sau,1,0.9928992986679076,9,38
hình_ảnh mang tính_chất nhận xu,0,0.0270114745944738,50,36
rất đẹp m,1,0.9928101301193236,68,24
n nên ủng_hộ shop này nhé,1,0.9913640022277832,80,43
đế cao cm rep đi êm_đẹp hơn mong_đợi cảm_ơn shop nhiều ạ,1,0.9503445625305176,48,51
sẽ tiếp_tục ủng_hộ shop,1,0.986528754234314,12,63
đẹp nhưng hơi to chút,1,0.5368192195892334,43,80
